Station,Year,Month,T.max
Dhaka (11111),2004,5,35.13
Dhaka (11111),2004,6,32.21
Dhaka (11111),2004,7,31.53
Dhaka (11111),2004,8,32.29
Dhaka (11111),2004,9,30.41
Dhaka (11111),2004,10,30.96
Dhaka (11111),2004,11,29.48
Dhaka (11111),2004,12,26.97
Dhaka (11111),2005,1,24.52
Dhaka (11111),2005,2,29.1
Dhaka (11111),2005,3,32.21
Dhaka (11111),2005,4,34.44
Dhaka (11111),2005,5,33.24
Dhaka (11111),2005,6,33.42
Dhaka (11111),2005,7,31.45
Dhaka (11111),2005,8,32.08
Dhaka (11111),2005,9,32.8
Dhaka (11111),2005,10,30.57
Dhaka (11111),2005,11,29.07
Dhaka (11111),2005,12,27.07
Dhaka (11111),2006,1,25.32
Dhaka (11111),2006,2,31.25
Dhaka (11111),2006,3,33.2
Dhaka (11111),2006,4,33.74
Dhaka (11111),2006,5,33.76
Dhaka (11111),2006,6,32.39
Dhaka (11111),2006,7,32.38
Dhaka (11111),2006,8,32.54
Dhaka (11111),2006,9,31.92
Dhaka (11111),2006,10,32.26
Dhaka (11111),2006,11,29.66
Dhaka (11111),2006,12,26.88
Dhaka (11111),2007,1,24.56
Dhaka (11111),2007,2,27.11
Dhaka (11111),2007,3,31.49
Dhaka (11111),2007,4,33.66
Dhaka (11111),2007,5,34.76
Dhaka (11111),2007,6,32.49
Dhaka (11111),2007,7,31.45
Dhaka (11111),2007,8,32.53
Dhaka (11111),2007,9,32.05
Dhaka (11111),2007,10,31.5
Dhaka (11111),2007,11,29.05
Dhaka (11111),2007,12,25.81
Dhaka (11111),2008,1,24.46
Dhaka (11111),2008,2,26.07
Dhaka (11111),2008,3,31.65
Dhaka (11111),2008,4,34.48
Dhaka (11111),2008,5,34.68
Dhaka (11111),2008,6,32.47
Dhaka (11111),2008,7,31.77
Dhaka (11111),2008,8,32.12
Dhaka (11111),2008,9,32.57
Dhaka (11111),2008,10,31.4
Dhaka (11111),2008,11,29.71
Dhaka (11111),2008,12,25.57
Dhaka (11111),2009,1,25.92
Dhaka (11111),2009,2,29.7
Dhaka (11111),2009,3,33.28
Dhaka (11111),2009,4,35.57
Dhaka (11111),2009,5,34.58
Dhaka (11111),2009,6,34.5
Dhaka (11111),2009,7,32.34
Dhaka (11111),2009,8,32.49
Dhaka (11111),2009,9,32.54
Dhaka (11111),2009,10,32.22
Dhaka (11111),2009,11,30.18
Dhaka (11111),2009,12,25.99
Dhaka (11111),2010,1,23.82
Dhaka (11111),2010,2,28.91
Dhaka (11111),2010,3,34.11
Dhaka (11111),2010,4,35.52
Dhaka (11111),2010,5,34.27
Dhaka (11111),2010,6,33.08
Dhaka (11111),2010,7,33.01
Dhaka (11111),2010,8,33.15
Dhaka (11111),2010,9,32.51
Dhaka (11111),2010,10,32.4
Dhaka (11111),2010,11,30.09
Dhaka (11111),2010,12,26.07
Dhaka (11111),2011,1,23.45
